"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"166","Jared Abbrederis (FA)","7","3","44","14.7","16","5.3","16","5.3","28","9.3","1","0.3","0","7","1.2%","3","0","1","2","1","0","0","0","25"
"167","Michael Clark (FA)","2","4","41","10.3","30","7.5","30","7.5","11","2.8","3","0.8","0","14","2.5%","4","0","1","2","0","0","0","0","19"
"168","Quan Bray (FA)","9","3","39","13.0","29","9.7","29","9.7","10","3.3","6","2.0","0","4","0%","3","0","0","2","1","0","0","0","22"
"169","Tanner Gentry (FA)","4","3","35","11.7","34","11.3","34","11.3","1","0.3","0","0.0","0","6","1.3%","4","1","0","2","0","0","0","0","15"
"170","JoJo Natson (FA)","7","2","18","9.0","14","7.0","14","7.0","4","2.0","1","0.5","0","5","0.8%","3","1","0","1","0","0","0","0","19"
"171","Noah Brown (HOU)","13","4","33","8.3","11","2.8","11","2.8","22","5.5","2","0.5","0","9","1.9%","5","1","0","2","0","0","0","0","14"
"172","Ryan Switzer (FA)","16","6","41","6.8","23","3.8","23","3.8","18","3.0","7","1.2","0","7","1.2%","6","0","1","1","0","0","0","0","12"
"173","Chris Matthews (FA)","6","3","25","8.3","20","6.7","20","6.7","5","1.7","5","1.7","0","6","1.1%","3","0","1","1","0","0","0","0","12"
"174","Marcus Johnson (FA)","10","5","45","9.0","38","7.6","38","7.6","7","1.4","7","1.4","0","8","1.4%","5","0","0","2","0","0","0","0","16"
"175","DeAndrew White (FA)","2","1","24","24.0","23","23.0","23","23.0","1","1.0","0","0.0","0","7","1.2%","3","2","0","1","1","0","0","0","24"
"176","Griff Whalen (FA)","2","4","23","5.8","21","5.3","21","5.3","2","0.5","0","0.0","0","6","1.1%","4","0","0","0","0","0","0","0","9"
